"旧相对路径","新相对路径","操作类型","原因","大小"
"04、科幻\14、踏 星\《踏 星》（校对版全本）.txt","04、科幻\14、踏 星\《踏星》（校对版全本）.txt","重命名","还原混淆书名","36548366"
"04、科幻\15、高 手\《高 人 竟 在 我 身 边》（校对版）.txt","04、科幻\15、高 手\《高人竟在我身边》（校对版）.txt","重命名","还原混淆书名","2725367"
"04、科幻\16、隐 秘\《隐 秘 死 角》（校对版全本）.txt","04、科幻\16、隐 秘\《隐秘死角》（校对版全本）.txt","重命名","还原混淆书名","5206308"
"04、科幻\17、第 九\《第 九 特 区》（校对版全本）.txt","04、科幻\17、第 九\《第九特区》（校对版全本）.txt","重命名","还原混淆书名","13146102"
"04、科幻\18、未 来\《未 来 天 王》（校对版全本）.txt","04、科幻\18、未 来\《未来天王》（校对版全本）.txt","重命名","还原混淆书名","3601648"
"04、科幻\19、我 的\《我的末世基地车》（校对版全本）.txt","04、科幻\19、我 的\《我的末世基地车》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","4067564"
"04、科幻\20、最 后\《最 后 结 局》（校对版）.txt","04、科幻\20、最 后\《最后结局》（校对版）.txt","重命名","还原混淆书名","5635818"
"04、科幻\21、进 化 的\《进化的46亿重奏》（校对版）.txt","04、科幻\21、进 化 的\《进化的46亿重奏》（校对版）.txt","重命名","去除书名内空格/规范化版本标注","24275823"
"04、科幻\22、星 级\《星 级 猎 人》（校对版全本）.txt","04、科幻\22、星 级\《星级猎人》（校对版全本）.txt","重命名","还原混淆书名","5562666"
"04、科幻\23、狩 魔\《狩 魔 手 记》（校对版全本）.txt","04、科幻\23、狩 魔\《狩魔手记》（校对版全本）.txt","重命名","还原混淆书名","4494047"
"04、科幻\24、蟑 螂\《末 日 蟑 螂》（校对版全本）.txt","04、科幻\24、蟑 螂\《末日蟑螂》（校对版全本）.txt","重命名","还原混淆书名","13016966"
"04、科幻\25、宇 宙\《宇 宙 职 业 选 手》（校对版）.txt","04、科幻\25、宇 宙\《宇宙职业选手》（校对版）.txt","重命名","还原混淆书名","4361393"
"04、科幻\26、领 地\《我 的 末 世 领 地》（校对版）.txt","04、科幻\26、领 地\《我的末世领地》（校对版）.txt","重命名","还原混淆书名","5409722"
"04、科幻\27、光 明\《光 明 壁 垒》（校对版）.txt","04、科幻\27、光 明\《光明壁垒》（校对版）.txt","重命名","还原混淆书名","14000950"
"04、科幻\28、卡 徒\《卡 徒》（校对版全本）.txt","04、科幻\28、卡 徒\《卡徒》（校对版全本）.txt","重命名","还原混淆书名","4109520"
"04、科幻\29、废 土\《废 土 崛 起》（校对版全本）.txt","04、科幻\29、废 土\《废土崛起》（校对版全本）.txt","重命名","还原混淆书名","9387977"
"04、科幻\31、星 空\《星 空 职 业 者》（校对版）.txt","04、科幻\31、星 空\《星空职业者》（校对版）.txt","重命名","还原混淆书名","7588502"
"04、科幻\32、末 日\《末 日 乐 园》（校对版）.txt","04、科幻\32、末 日\《末日乐园》（校对版）.txt","重命名","还原混淆书名","15266671"
"04、科幻\33、师 士\《师士 传 说》（校对版全本）.txt","04、科幻\33、师 士\《师士传说》（校对版全本）.txt","重命名","还原混淆书名","4216223"
"04、科幻\39、诸 天\《逐 道 在 诸 天》（校对版全本）.txt","04、科幻\39、诸 天\《逐道在诸天》（校对版全本）.txt","重命名","还原混淆书名","3636548"
"05、奇幻\01、放开\《放开那个女巫》（精校版全本）.txt","05、奇幻\01、放开\《放开那个女巫》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","7182069"
"05、奇幻\02、琴di\《琴帝》（校对版全本）.txt","05、奇幻\02、琴di\《琴帝》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","6147505"
"05、奇幻\03、酒s\《酒神（阴阳冕）》（校对版全本）.txt","05、奇幻\03、酒s\《酒神（阴阳冕）》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","5686753"
"05、奇幻\04、高天\《高天之上》（校对版全本）.txt","05、奇幻\04、高天\《高天之上》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","9447673"
"05、奇幻\05、神秘zl\《神秘之旅》（精校版全本）.txt","05、奇幻\05、神秘zl\《神秘之旅》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","9599984"
"05、奇幻\06、巫师zl\《巫师之旅》（校对版全本）.txt","05、奇幻\06、巫师zl\《巫师之旅》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","11107317"
"05、奇幻\07、无限\《w限x核》（校对版全本）.txt","05、奇幻\07、无限\《无限血核》（校对版全本）.txt","重命名","还原混淆书名","7005538"
"05、奇幻\08、天q\《天q预b报》（校对版全本）.txt","05、奇幻\08、天q\《天启预报》（校对版全本）.txt","重命名","还原混淆书名","13891221"
"05、奇幻\09、诡m地h\《诡m地h》（校对版全本）.txt","05、奇幻\09、诡m地h\《诡秘地海》（校对版全本）.txt","重命名","还原混淆书名","5218500"
"05、奇幻\10、巫 界\《巫 界 术 士》（校对版全本）.txt","05、奇幻\10、巫 界\《巫界术士》（校对版全本）.txt","重命名","还原混淆书名","7883340"
"05、奇幻\11、黑 石\《黑 石 密 码》（校对版）.txt","05、奇幻\11、黑 石\《黑石密码》（校对版）.txt","重命名","还原混淆书名","21644631"
"05、奇幻\12、霍 格\《舌 尖 上 的 霍 格 沃 茨》（校对版）.txt","05、奇幻\12、霍 格\《舌尖上的霍格沃茨》（校对版）.txt","重命名","还原混淆书名","8371459"
"05、奇幻\13、骑 士\《巫师：从骑士呼吸法开始肝经验》.txt","05、奇幻\13、骑 士\《巫师：从骑士呼吸法开始肝经验》.txt","重命名","去除书名内空格/规范化版本标注","12336034"
"05、奇幻\14、亵 d\《亵 渎》（精校版全本）.txt","05、奇幻\14、亵 d\《亵渎》（精校版全本）.txt","重命名","还原混淆书名","5105513"
"05、奇幻\15、大 龙\《大 龙 挂 了》（校对版）.txt","05、奇幻\15、大 龙\《大龙挂了》（校对版）.txt","重命名","还原混淆书名","5437439"
"05、奇幻\16、G 王\国王.epub","05、奇幻\16、G 王\《国王》.epub","重命名","epub元数据书名《国王》","16002759"
"05、奇幻\17、魔 法\《第一次魔法世界大战》（校对版）.txt","05、奇幻\17、魔 法\《第一次魔法世界大战》（校对版）.txt","重命名","去除书名内空格/规范化版本标注","4653733"
"06、历史\01、庆余年\《庆余年》（精校版全本）.txt","06、历史\01、庆余年\《庆余年》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","7283552"
"06、历史\02、娱乐cq\《娱乐春秋》（校对版全本）.txt","06、历史\02、娱乐cq\《娱乐春秋》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","3986669"
"06、历史\03、逍遥\《逍遥小书生》（校对版全本）.txt","06、历史\03、逍遥\《逍遥小书生》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","6118986"
"06、历史\04、宰执\《宰执天下》（校对版全本）.txt","06、历史\04、宰执\《宰执天下》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","15779204"
"06、历史\05、唐z\《唐砖》（精校版全本）.txt","06、历史\05、唐z\《唐砖》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","9082904"
"06、历史\06、极品jd\《极品家丁》（校对版全本）.txt","06、历史\06、极品jd\《极品家丁》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","6210002"
"06、历史\07、绍s\《绍宋》（校对版全本）.txt","06、历史\07、绍s\《绍宋》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","5399209"
"06、历史\08、晚 唐\《晚 唐 浮 生》（校对版）.txt","06、历史\08、晚 唐\《晚唐浮生》（校对版）.txt","重命名","还原混淆书名","12548062"
"06、历史\09、满 唐\《满 唐 华 彩》（校对版）.txt","06、历史\09、满 唐\《满唐华彩》（校对版）.txt","重命名","还原混淆书名","11962294"
"06、历史\10、秦 L\《秦 吏》（校对版全本）.txt","06、历史\10、秦 L\《秦吏》（校对版全本）.txt","重命名","还原混淆书名","7206940"
"06、历史\11、小 阁\《小 阁 老》（校对版全本）.txt","06、历史\11、小 阁\《小阁老》（校对版全本）.txt","重命名","还原混淆书名","10676191"
"06、历史\12、北 颂\《北 颂》（校对版全本）.txt","06、历史\12、北 颂\《北颂》（校对版全本）.txt","重命名","还原混淆书名","10443305"
"06、历史\13、败 家 Z\《明 朝 败 家 子》（校对版全本）.txt","06、历史\13、败 家 Z\《明朝败家子》（校对版全本）.txt","重命名","还原混淆书名","11666324"
"06、历史\14、家 父\《家 父 汉 高 祖》（校对版）.txt","06、历史\14、家 父\《家父汉高祖》（校对版）.txt","重命名","还原混淆书名","13474076"
"06、历史\15、大 明\《大 明 国 师》（校对版）.txt","06、历史\15、大 明\《大明国师》（校对版）.txt","重命名","还原混淆书名","9319384"
"06、历史\16、长 宁\《长 宁 帝 军》（校对版全本）.txt","06、历史\16、长 宁\《长宁帝军》（校对版全本）.txt","重命名","还原混淆书名","11258634"
"06、历史\17、北 宋\《北 宋 穿 越 指 南》（校对版全本）.txt","06、历史\17、北 宋\《北宋穿越指南》（校对版全本）.txt","重命名","还原混淆书名","12180893"
"06、历史\18、唐 人\《唐 人 的 餐 桌》（校对版）.txt","06、历史\18、唐 人\《唐人的餐桌》（校对版）.txt","重命名","还原混淆书名","8954903"
"06、历史\19、大 宋\《大 宋 的 智 慧》（校对版全本）.txt","06、历史\19、大 宋\《大宋的智慧》（校对版全本）.txt","重命名","还原混淆书名","7029638"
"06、历史\20、银 狐\《银 狐》（校对版全本）.txt","06、历史\20、银 狐\《银狐》（校对版全本）.txt","重命名","还原混淆书名","6183263"
"06、历史\21、汉 乡\《汉 乡》（校对版全本）.txt","06、历史\21、汉 乡\《汉乡》（校对版全本）.txt","重命名","还原混淆书名","7691034"
"06、历史\22、明 天 下\《明 天 下》（校对版全本）.txt","06、历史\22、明 天 下\《明天下》（校对版全本）.txt","重命名","还原混淆书名","6248975"
"06、历史\23、挽 天 倾\《红 楼 之 挽 天 倾》（校对版）.txt","06、历史\23、挽 天 倾\《红楼之挽天倾》（校对版）.txt","重命名","还原混淆书名","19635059"
"06、历史\24、如 意\《如 意 小 郎 君》（校对版全本）.txt","06、历史\24、如 意\《如意小郎君》（校对版全本）.txt","重命名","还原混淆书名","5306695"
"06、历史\25、大 唐\《大 唐 太 子》（校对版）.txt","06、历史\25、大 唐\《大唐太子》（校对版）.txt","重命名","还原混淆书名","7193562"
"06、历史\26、衣 冠\《衣 冠 不 南 渡》（校对版）.txt","06、历史\26、衣 冠\《衣冠不南渡》（校对版）.txt","重命名","还原混淆书名","7792157"
"06、历史\27、罗 马\《神 圣 罗 马 帝 国》（校对版）.txt","06、历史\27、罗 马\《神圣罗马帝国》（校对版）.txt","重命名","还原混淆书名","7991714"
"06、历史\28、无 敌\《无 敌 六 皇 子》（校对版）.txt","06、历史\28、无 敌\《无敌六皇子》（校对版）.txt","重命名","还原混淆书名","8014847"
"06、历史\29、世 子\《世 子 很 凶》（校对版）.txt","06、历史\29、世 子\《世子很凶》（校对版）.txt","重命名","还原混淆书名","5208138"
"06、历史\30、九 锡\《九 锡》（校对版）.txt","06、历史\30、九 锡\《九锡》（校对版）.txt","重命名","还原混淆书名","7365057"
"06、历史\31、北 齐\《北 齐 怪 谈》（校对版）.txt","06、历史\31、北 齐\《北齐怪谈》（校对版）.txt","重命名","还原混淆书名","5171371"
"06、历史\32、临 安\《临 安 不 夜 侯》（校对版）.txt","06、历史\32、临 安\《临安不夜侯》（校对版）.txt","重命名","还原混淆书名","11814200"
"06、历史\33、带 着\《带着仓库到大明》（校对版全本）.txt","06、历史\33、带 着\《带着仓库到大明》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","13144304"
"06、历史\34、讨 逆\《讨 逆》（校对版）.txt","06、历史\34、讨 逆\《讨逆》（校对版）.txt","重命名","还原混淆书名","21201682"
"06、历史\35、回 到\《回 到 明 朝 当 王 爷》（精校版）.txt","06、历史\35、回 到\《回到明朝当王爷》（精校版）.txt","重命名","还原混淆书名","6976884"
"06、历史\36、文 豪\《文 豪 崛 起》（校对版）.txt","06、历史\36、文 豪\《文豪崛起》（校对版）.txt","重命名","还原混淆书名","5319959"
"06、历史\37、春 秋\《春 秋 我 为 王》（校对版）.txt","06、历史\37、春 秋\《春秋我为王》（校对版）.txt","重命名","还原混淆书名","8221023"
"07、武侠\01、不死\《不死不灭》（精校版全本）.txt","07、武侠\01、不死\《不死不灭》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","1568704"
"07、武侠\02、九dj\《九鼎记》（校对版全本）.txt","07、武侠\02、九dj\《九鼎记》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","4327833"
"07、武侠\03、最强\《最强反派系统》（校对版全本）.txt","07、武侠\03、最强\《最强反派系统》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","9839066"
"07、武侠\04、龙 蛇\《龙 蛇 演 义》（精校版全本）.txt","07、武侠\04、龙 蛇\《龙蛇演义》（精校版全本）.txt","重命名","还原混淆书名","4264762"
"07、武侠\05、玩 家\《玩 家 凶 猛》（校对版全本）.txt","07、武侠\05、玩 家\《玩家凶猛》（校对版全本）.txt","重命名","还原混淆书名","6731949"
"07、武侠\06、机 动\《机 动 风 暴》（校对版全本）.txt","07、武侠\06、机 动\《机动风暴》（校对版全本）.txt","重命名","还原混淆书名","5464781"
"07、武侠\07、金 刚\《金刚不坏大寨主》（校对版）.txt","07、武侠\07、金 刚\《金刚不坏大寨主》（校对版）.txt","重命名","去除书名内空格/规范化版本标注","14010442"
"08、游戏\01、惊 悚 乐 园\《惊悚乐园》（校对版全本+番外）.txt","08、游戏\01、惊 悚 乐 园\《惊悚乐园》（校对版全本+番外）.txt","重命名","去除书名内空格/规范化版本标注","10309137"
"08、游戏\02、亏 成 首 富\《亏成首富从游戏开始》（校对版全本）.txt","08、游戏\02、亏 成 首 富\《亏成首富从游戏开始》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","11629402"
"08、游戏\03、全 职\《全职高手》（精校版全本）.txt","08、游戏\03、全 职\《全职高手》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","11131340"
"08、游戏\04、超神机械\《超神机械师》（校对版全本）.txt","08、游戏\04、超神机械\《超神机械师》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","11056364"
"08、游戏\05、失落叶三部曲\《网游之天下无双》（校对版全本）.txt","08、游戏\05、失落叶三部曲\《网游之天下无双》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","10902236"
"08、游戏\05、失落叶三部曲\《网游之盗版神话》（校对版全本）.txt","08、游戏\05、失落叶三部曲\《网游之盗版神话》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","5419908"
"08、游戏\05、失落叶三部曲\《网游之纵横天下》（校对版全本）.txt","08、游戏\05、失落叶三部曲\《网游之纵横天下》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","9841674"
"08、游戏\06、这游戏\《这游戏也太真实了》（精校版全本）.txt","08、游戏\06、这游戏\《这游戏也太真实了》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","22372584"
"08、游戏\07、英雄LM\《英雄联盟之灾变时代》（校对版全本）.txt","08、游戏\07、英雄LM\《英雄联盟之灾变时代》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","3234094"
"08、游戏\08、琥珀zj\《琥珀之剑》（校对版全本）.txt","08、游戏\08、琥珀zj\《琥珀之剑》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","11828881"
"08、游戏\09、王者sk\《王者时刻》（校对版全本）.txt","08、游戏\09、王者sk\《王者时刻》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","2628472"
"08、游戏\10、从零\《从零开始》（校对版全本）.txt","08、游戏\10、从零\《从零开始》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","40540352"
"08、游戏\11、网游之td\《网游之天地》（校对版全本）.txt","08、游戏\11、网游之td\《网游之天地》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","10417710"
"08、游戏\12、c生之z行天下\《重生之贼行天下》（校对版全本）.txt","08、游戏\12、c生之z行天下\《重生之贼行天下》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","6190734"
"08、游戏\13、c生z最强剑神\《重生之最强剑神》（校对版全本）.txt","08、游戏\13、c生z最强剑神\《重生之最强剑神》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","15105287"
"08、游戏\14、联盟z魔w系t\《联盟之魔王系统》（校对版全本）.txt","08、游戏\14、联盟z魔w系t\《联盟之魔王系统》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","8587153"
"08、游戏\16、什么叫游走\《什么叫游走型中单啊》（校对版全本）.txt","08、游戏\16、什么叫游走\《什么叫游走型中单啊》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","8886275"
"08、游戏\17、什么叫六边形\《什么叫六边形打野啊》（校对版全本）.txt","08、游戏\17、什么叫六边形\《什么叫六边形打野啊》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","11938300"
"08、游戏\18、近战fs\《网游之近战法师》（精校版全本）.txt","08、游戏\18、近战fs\《网游之近战法师》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","7541899"
"08、游戏\19、y兵x统\《联盟之佣兵系统》（校对版全本）.txt","08、游戏\19、y兵x统\《联盟之佣兵系统》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","6149383"
"08、游戏\20、峡谷zd\《峡谷之巅》（校对版全本）.txt","08、游戏\20、峡谷zd\《峡谷之巅》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","4591596"
"08、游戏\21、落地\《落地一把98K》（校对版全本）.txt","08、游戏\21、落地\《落地一把98K》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","6994825"
"08、游戏\22、峡谷znl\《峡谷正能量》（校对版全本）.txt","08、游戏\22、峡谷znl\《峡谷正能量》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","6480030"
"08、游戏\23、上d之s\《英雄联盟：上帝之手》（校对版全本）.txt","08、游戏\23、上d之s\《英雄联盟：上帝之手》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","4643966"
"08、游戏\24、冠j之j\《英雄联盟：冠军之箭》（校对版全本）.txt","08、游戏\24、冠j之j\《英雄联盟：冠军之箭》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","5529521"
"08、游戏\25、s级y雄\《神级英雄》（校对版全本）.txt","08、游戏\25、s级y雄\《神级英雄》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","12906354"
"08、游戏\26、崛 起\《主 神 崛 起》（校对版全本）.txt","08、游戏\26、崛 起\《主神崛起》（校对版全本）.txt","重命名","还原混淆书名","5698782"
"08、游戏\27、梦 路\《逍 遥 梦 路》（校对版全本）.txt","08、游戏\27、梦 路\《逍遥梦路》（校对版全本）.txt","重命名","还原混淆书名","7971112"
"08、游戏\28、黎 明\《超 凡 黎 明》（校对版全本）.txt","08、游戏\28、黎 明\《超凡黎明》（校对版全本）.txt","重命名","还原混淆书名","3971939"
"08、游戏\30、神 秀\《神 秀 之 主》（校对版全本）.txt","08、游戏\30、神 秀\《神秀之主》（校对版全本）.txt","重命名","还原混淆书名","4522802"
"08、游戏\31、神 秘\《神 秘 之 劫》（校对版全本）.txt","08、游戏\31、神 秘\《神秘之劫》（校对版全本）.txt","重命名","还原混淆书名","6405743"
"08、游戏\33、逆 天\《邪 龙 逆 天》（校对版）.txt","08、游戏\33、逆 天\《邪龙逆天》（校对版）.txt","重命名","还原混淆书名","8045686"
"08、游戏\34、这 个\《这 个 男 人 太 强 了！》（校对版）.txt","08、游戏\34、这 个\《这个男人太强了！》（校对版）.txt","重命名","还原混淆书名","7462835"
"08、游戏\35、法 爷\《我真没针对法爷》（校对版全本）.txt","08、游戏\35、法 爷\《我真没针对法爷》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","6682149"
"09、高武\01、我在\《我在精神病院学斩神》（校对版全本）.txt","09、高武\01、我在\《我在精神病院学斩神》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","9116825"
"09、高武\02、万族\《万族之劫》（校对版全本）.txt","09、高武\02、万族\《万族之劫》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","18542118"
"09、高武\02、万族\《全球高武》（精校版全本）.txt","09、高武\02、万族\《全球高武》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","18649335"
"10、灵异\01、道诡\《道 诡 异 仙》（校对版）.txt","10、灵异\01、道诡\《道诡异仙》（校对版）.txt","重命名","还原混淆书名","7144234"
"10、灵异\02、我有yzmxw\《我有一座冒险屋(我有一座恐怖屋)》（校对版全本）.txt","10、灵异\02、我有yzmxw\《我有一座冒险屋(我有一座恐怖屋)》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","6574688"
"11、悬疑\01、十日\《十日终焉》（校对全本）.txt","11、悬疑\01、十日\《十日终焉》（校对全本）.txt","重命名","去除书名内空格/规范化版本标注","9385090"
"11、悬疑\02、镇妖\《镇妖博物馆》（校对版全本）.txt","11、悬疑\02、镇妖\《镇妖博物馆》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","11046824"
"11、悬疑\03、黄昏\《黄昏分界》（软校全本）.txt","11、悬疑\03、黄昏\《黄昏分界》（软校全本）.txt","重命名","去除书名内空格/规范化版本标注","9268790"
"11、悬疑\04、我的zyxyx\《我的治愈系游戏》（校对版全本+番外）.txt","11、悬疑\04、我的zyxyx\《我的治愈系游戏》（校对版全本+番外）.txt","重命名","去除书名内空格/规范化版本标注","10405597"
"11、悬疑\05、深夜sw\《深夜书屋》（校对版全本）.txt","11、悬疑\05、深夜sw\《深夜书屋》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","8585189"
"11、悬疑\06、魔 临\《魔临》（校对版全本）.txt","11、悬疑\06、魔 临\《魔临》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","11929638"
"11、悬疑\07、诡 舍\《诡 舍》（原版）.txt","11、悬疑\07、诡 舍\《诡舍》（原版）.txt","重命名","还原混淆书名","5925846"
"11、悬疑\08、G 吹 灯\《鬼吹灯全集》（精校版，全8卷）.txt","11、悬疑\08、G 吹 灯\《鬼吹灯全集》（精校版，全8卷）.txt","重命名","去除书名内空格/规范化版本标注","5917711"
"11、悬疑\09、DM笔记\《盗墓笔记》（实体封面全本）.txt","11、悬疑\09、DM笔记\《盗墓笔记》（实体封面全本）.txt","重命名","去除书名内空格/规范化版本标注","3113377"
"11、悬疑\10、通 幽\《通幽大圣》（校对版全本）.txt","11、悬疑\10、通 幽\《通幽大圣》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","3831125"
"13、军事\01、炮 火\《炮火弧线》（校对版全本）.txt","13、军事\01、炮 火\《炮火弧线》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","8503003"
"14、轻小说\01、我 本\《我 本 无 意 成 仙》（校对版）.txt","14、轻小说\01、我 本\《我本无意成仙》（校对版）.txt","重命名","还原混淆书名","5259558"
"14、轻小说\02、不 许\《不 许 没 收 我 的 人 籍》（校对版全本）.txt","14、轻小说\02、不 许\《不许没收我的人籍》（校对版全本）.txt","重命名","还原混淆书名","10446801"
"14、轻小说\03、我 的\《我 的 超 能 力 每 周 刷 新》（校对版）.txt","14、轻小说\03、我 的\《我的超能力每周刷新》（校对版）.txt","重命名","还原混淆书名","6393826"
"14、轻小说\04、训 练 家\《我 真 没 想 当 训 练 家 啊》（校对版）.txt","14、轻小说\04、训 练 家\《我真没想当训练家啊》（校对版）.txt","重命名","还原混淆书名","10200556"
"14、轻小说\05、术 师\《术 师 手 册》（校对版）.txt","14、轻小说\05、术 师\《术师手册》（校对版）.txt","重命名","还原混淆书名","9249596"
"14、轻小说\06、剑 出\《剑出衡山》（校对版全本＋番外）.txt","14、轻小说\06、剑 出\《剑出衡山》（校对版全本＋番外）.txt","重命名","去除书名内空格/规范化版本标注","4200016"
"14、轻小说\07、世 界\《世界树的游戏》（校对版全本）.txt","14、轻小说\07、世 界\《世界树的游戏》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","7398612"
"14、轻小说\08、轮 回\《轮 回 乐 园》（校对版）.txt","14、轻小说\08、轮 回\《轮回乐园》（校对版）.txt","重命名","还原混淆书名","45995168"
"14、轻小说\09、精灵\《精灵掌门人》（校对版全本）.txt","14、轻小说\09、精灵\《精灵掌门人》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","8305185"
"14、轻小说\10、我 家 老婆\《我家老婆来自一千年前》（校对版全本）.txt","14、轻小说\10、我 家 老婆\《我家老婆来自一千年前》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","2408418"
"14、轻小说\11、芝 加 哥\《芝加哥1990》（校对版全本）.txt","14、轻小说\11、芝 加 哥\《芝加哥1990》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","10712340"
"14、轻小说\12、姑 获 鸟\《从 姑 获 鸟 开 始》（精校版）.txt","14、轻小说\12、姑 获 鸟\《从姑获鸟开始》（精校版）.txt","重命名","还原混淆书名","6308262"
"14、轻小说\13、出 牌\《我就是不按套路出牌》（校对版）.txt","14、轻小说\13、出 牌\《我就是不按套路出牌》（校对版）.txt","重命名","去除书名内空格/规范化版本标注","8403525"
"14、轻小说\14、我 家\《我家娘子，不对劲》（校对版）.txt","14、轻小说\14、我 家\《我家娘子，不对劲》（校对版）.txt","重命名","去除书名内空格/规范化版本标注","8797386"
"14、轻小说\16、魏 君\《视 死 如 归 魏 君 子》（校对版）.txt","14、轻小说\16、魏 君\《视死如归魏君子》（校对版）.txt","重命名","还原混淆书名","6546570"
"15、女频\01、天 官\《天官赐福》(精校全本+番外)【回归重修版】.txt","15、女频\01、天 官\《天官赐福》（精校全本+番外（【回归重修版】.txt","重命名","去除书名内空格/规范化版本标注","3204535"
"15、女频\02、魔 D 祖 S\《魔 道 祖 师》（精校版+番外）.txt","15、女频\02、魔 D 祖 S\《魔道祖师》（精校版+番外）.txt","重命名","还原混淆书名","1305890"
"16、体育\01、禁 区\《禁 区 之 狐》（校对版全本）.txt","16、体育\01、禁 区\《禁区之狐》（校对版全本）.txt","重命名","还原混淆书名","16739996"
"17、其他\01、海贼王之mcgs\《海贼王之mcgs》（校对版全本）.txt","17、其他\01、海贼王之mcgs\《海贼王之母巢果实》（校对版全本）.txt","重命名","还原混淆书名","1152446"
"01、玄幻\88、万 古\04.更多精品完本，可访问：www.nmzys.com","","清理","空广告目录删除","0"
"02、仙侠\55、修 仙\03.更多精品完本，可访问：www.nmzys.com","","清理","空广告目录删除","0"
"02、仙侠\56、谁 让\03.更多精品完本，可访问：www.nmzys.com","","清理","空广告目录删除","0"
"02、仙侠\67、修 仙\03.03.更多精品完本，可访问：www.nmzys.com","","清理","空广告目录删除","0"
"03、都市\50、稳 住\03.更多精品完本，可访问：www.nmzys.com","","清理","空广告目录删除","0"
"03、都市\58、女 房 客\更多精品完本，可访问：www.nmzys.com","","清理","空广告目录删除","0"
"04、科幻\31、星 空\更多精品完本，可访问：www.nmzys.com","","清理","空广告目录删除","0"
"14、轻小说\08、轮 回\更多精品完本，可访问：www.nmzys.com","","清理","空广告目录删除","0"
"15、女频\01、天 官\更多精品完本，可访问：www.nmzys.com","","清理","空广告目录删除","0"
"02、仙侠\27、烂K棋Y","02、仙侠\烂柯棋缘","文件夹改名","书文件夹规范化为书名","0"
"04、科幻\19、我 的","04、科幻\我的末世基地车","文件夹改名","书文件夹规范化为书名","0"
"15、女频\02、魔 D 祖 S","15、女频\魔道祖师","文件夹改名","书文件夹规范化为书名","0"
"02、仙侠\62、仙 者","02、仙侠\仙者","文件夹改名","书文件夹规范化为书名","0"
"01、玄幻\93、普 罗","01、玄幻\普罗之主","文件夹改名","书文件夹规范化为书名","0"
